record_id	canonical_name	display_name	genus	species	strain	taxid	family	order	assembly_accession	assembly_source	is_type_material	is_outgroup	is_query	has_genome	genome_path	has_16s	rrna_16s_path	normalized_id	source	status	notes
Actinocorallia_libanotica_JCM_10696_GCA_039525175.1	Actinocorallia libanotica	Actinocorallia libanotica JCM 10696	Actinocorallia	libanotica	JCM 10696	46162	Streptosporangiaceae	Streptosporangiales	GCA_039525175.1	GTDB	true	false	false	true	phase15b_Actinocorallia/genomes/references/Actinocorallia_libanotica_JCM_10696_GCA_039525175.1.fna	true	phase15b_Actinocorallia/rrna/sequences/Actinocorallia_libanotica_JCM_10696_GCA_039525175.1.16s.fasta	Actinocorallia_libanotica_JCM_10696_GCA_039525175.1	GTDB	rrna_16s_skipped_existing	Existing 16S FASTA found: phase15b_Actinocorallia/rrna/sequences/Actinocorallia_libanotica_JCM_10696_GCA_039525175.1.16s.fasta
Actinocorallia_longicatena_JCM_9377_GCA_039534125.1	Actinocorallia longicatena	Actinocorallia longicatena JCM 9377	Actinocorallia	longicatena	JCM 9377	111803	Streptosporangiaceae	Streptosporangiales	GCA_039534125.1	GTDB	true	false	false	true	phase15b_Actinocorallia/genomes/references/Actinocorallia_longicatena_JCM_9377_GCA_039534125.1.fna	true	phase15b_Actinocorallia/rrna/sequences/Actinocorallia_longicatena_JCM_9377_GCA_039534125.1.16s.fasta	Actinocorallia_longicatena_JCM_9377_GCA_039534125.1	GTDB	rrna_16s_skipped_existing	Existing 16S FASTA found: phase15b_Actinocorallia/rrna/sequences/Actinocorallia_longicatena_JCM_9377_GCA_039534125.1.16s.fasta
Actinocorallia_herbida_DSM_44254_GCA_003751225.1	Actinocorallia herbida	Actinocorallia herbida DSM 44254	Actinocorallia	herbida	DSM 44254	58109	Streptosporangiaceae	Streptosporangiales	GCA_003751225.1	GTDB	true	false	false	true	phase15b_Actinocorallia/genomes/references/Actinocorallia_herbida_DSM_44254_GCA_003751225.1.fna	true	phase15b_Actinocorallia/rrna/sequences/Actinocorallia_herbida_DSM_44254_GCA_003751225.1.16s.fasta	Actinocorallia_herbida_DSM_44254_GCA_003751225.1	GTDB	rrna_16s_skipped_existing	Existing 16S FASTA found: phase15b_Actinocorallia/rrna/sequences/Actinocorallia_herbida_DSM_44254_GCA_003751225.1.16s.fasta
Actinocorallia_aurantiaca_JCM_8201_GCA_039533685.1	Actinocorallia aurantiaca	Actinocorallia aurantiaca JCM 8201	Actinocorallia	aurantiaca	JCM 8201	46204	Streptosporangiaceae	Streptosporangiales	GCA_039533685.1	GTDB	true	false	false	true	phase15b_Actinocorallia/genomes/references/Actinocorallia_aurantiaca_JCM_8201_GCA_039533685.1.fna	true	phase15b_Actinocorallia/rrna/sequences/Actinocorallia_aurantiaca_JCM_8201_GCA_039533685.1.16s.fasta	Actinocorallia_aurantiaca_JCM_8201_GCA_039533685.1	GTDB	rrna_16s_skipped_existing	Existing 16S FASTA found: phase15b_Actinocorallia/rrna/sequences/Actinocorallia_aurantiaca_JCM_8201_GCA_039533685.1.16s.fasta
Actinocorallia_populi_A251_GCA_002995495.1	Actinocorallia populi	Actinocorallia populi A251	Actinocorallia	populi	A251	2079200	Streptosporangiaceae	Streptosporangiales	GCA_002995495.1	GTDB	true	false	false	true	phase15b_Actinocorallia/genomes/references/Actinocorallia_populi_A251_GCA_002995495.1.fna	true	phase15b_Actinocorallia/rrna/sequences/Actinocorallia_populi_A251_GCA_002995495.1.16s.fasta	Actinocorallia_populi_A251_GCA_002995495.1	GTDB	rrna_16s_skipped_existing	Existing 16S FASTA found: phase15b_Actinocorallia/rrna/sequences/Actinocorallia_populi_A251_GCA_002995495.1.16s.fasta
